Table 1
Name,ID ,HTML,Python,Java,C,JavaScript
Floy Rosenthal  ,1,1,2,4,3,1
Maida Bradham  ,2,5,1,5,3,2
Eldora Cushenberry  ,3,4,1,1,4,3
Rosa Macky  ,4,1,2,2,3,2
Elyse Tetrault  ,5,2,1,1,1,5
Clayton Gascon  ,6,1,1,1,5,1
Gala Navas  ,7,1,3,3,4,1
Maire Mani  ,8,1,5,4,2,4
Millicent Core  ,9,5,2,3,2,1
Lisha Ibrahim  ,10,3,2,5,3,2
Shonda Mcmahon  ,11,2,3,2,5,1
Hannelore Buckelew  ,12,5,1,5,1,2
Merlin Kitchell  ,13,5,3,3,3,3
Annmarie Ing  ,14,1,1,3,1,3
Cornell Armendariz  ,15,4,5,4,4,1
Clemmie Rodrigez  ,16,2,3,4,1,1
Elias Stringham  ,17,1,2,4,4,1
Laurie Raminez  ,18,3,3,3,1,3
Margy Saunders  ,19,2,1,4,1,2
Johanne Shoemake  ,20,2,1,5,2,1
Adriane Hutcherson  ,21,5,3,1,4,3
Margret Stecklein  ,22,4,5,2,2,4
Teri Durante  ,23,5,2,3,3,1
Marine Stroman  ,24,5,3,4,4,5
Usha Boxer  ,25,1,4,4,3,4
Narcisa Schieber  ,26,4,3,1,2,3
So Hoagland  ,27,3,5,2,5,3
Maxima Husain  ,28,5,5,3,1,3
Jaimie Delange  ,29,5,4,4,1,1
Alec Barter  ,30,2,3,1,5,2
Theodora Morningstar  ,31,5,5,1,5,5
Brice Fairman  ,32,2,3,5,2,5
Melva Saver  ,33,2,2,3,4,5
Shantae Lira  ,34,3,3,4,2,5
Vina Sum  ,35,5,3,3,3,4
Princess Spraggs  ,36,3,5,4,2,3
Nichelle Krehbiel  ,37,1,1,4,4,3
Kim Hurlbert  ,38,1,1,4,4,5
Marvin Binney  ,39,4,5,1,2,4
Zaida Landy  ,40,4,3,5,3,4
Gerard Drummond  ,41,3,3,5,5,2
Kacey Grossi  ,42,5,2,5,5,4
Leann Rackley  ,43,5,4,1,3,3
Rufina Unsworth  ,44,2,5,4,5,4
Larissa Kilgore  ,45,5,4,1,2,1
Kimberely Perry  ,46,4,4,1,3,3
Shu Fairfax  ,47,2,2,3,2,4
Garrett Dawn  ,48,4,3,2,4,1
Jamie Hilty  ,49,3,5,3,1,3
Leisa Greenwood  ,50,1,3,2,1,1
Faustina Furtado ,50,5,3,5,4,4
Nena Troxell  ,50,2,1,5,5,1
Edna Mcentee  ,50,1,3,1,5,1
Jaleesa Bissett  ,50,2,3,3,4,3
Lucien Lukens  ,50,5,4,4,2,1
Pedro League  ,50,3,3,1,4,1
Victoria Bolivar ,50,3,3,2,4,2
Pierre Kornreich ,50,5,2,2,4,2
Karena Dicicco  ,50,4,1,4,5,1
Charise Montesdeo,50,5,2,1,5,4
Angele Simo  ,50,1,1,3,5,4
Marchelle Culotta,50,4,5,3,5,4
Conrad Hendrixson,50,3,3,5,5,1
Deonna Penson  ,50,3,2,5,1,3
Mimi Zelaya  ,50,1,4,3,3,2
Jimmie Ganey  ,50,1,4,3,5,3
Coy Pedro  ,50,5,2,3,5,1
Martin Whisenhunt,50,5,1,4,2,3
Jacquie Mcnulty  ,50,3,5,2,4,1
Brigitte Zych  ,50,3,4,4,4,4
Cindie Laverriere,50,3,5,3,5,4
Parthenia Masser ,50,1,2,3,5,5
Kassandra Sirmons,50,3,1,5,3,4
Regine Darwin  ,50,5,5,3,4,2
Shayla Matsumoto ,50,1,3,5,2,2
Loyce Mannella  ,50,4,1,3,2,4
Carlo Monsour  ,50,2,4,4,5,3
Shemika Verne  ,50,4,5,4,1,2
Nikia Huth  ,50,4,5,5,4,4
Steve Rocchio  ,50,3,5,3,4,5
Buck Arvidson  ,50,3,1,4,2,1
Nery Lemon  ,50,3,3,3,3,1
Marcy Fairey  ,50,5,4,1,1,3
Noelia Folks  ,50,2,4,2,5,4
Riva Urbanek  ,50,2,2,1,1,3
Vada Vass  ,50,4,5,4,3,3
Elidia Mcilrath  ,50,2,2,3,5,2
Willia Duffy  ,50,4,1,2,1,1
Francisca Rhineha,50,2,4,2,2,5
Adah Jessup  ,50,2,1,4,3,5
Dorotha Wainscott,50,5,4,4,2,5
Tinisha Langstaff,50,3,3,2,2,4
Jeannie Comerford,50,3,1,3,5,5
Jenice Hoge  ,50,2,4,1,3,4
Thi Sandor  ,50,3,3,1,1,3
Rochel Broomfield,50,5,5,2,3,4
Alexis Register  ,50,3,1,3,4,4
Jewell Bateman  ,50,2,3,5,5,5
Edgar Cumming  ,50,4,5,5,4,2
Verena Sokoloski ,50,2,2,3,1,5
